name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
MOIL,https://scanx.trade/company/moil-manganese-ore-ltd,323.65,-2.68%,329,"8,91,783","6,585.80",23.28,-107.53,405.6,274.05,-13.74%,-11.10%,4.00%,103.43%,127.76%,2.5,1.69%,8.98%,12.24%,17.65,341.66,354.6,41.2,64.67%,80.00%
Diamond Power Infrastructure,https://scanx.trade/company/diamond-power-infrastructure-ltd,124.75,-3.20%,129.48,"3,22,052","6,573.96",110.21,20.24,183.5,81.5,-8.95%,-19.88%,35.00%,5254.08%,95861.54%,-9.51,-,-,3.49%,-,136.21,135.54,42.13,36.00%,70.00%
Sterlite Technologies,https://scanx.trade/company/sterlite-technologies-ltd,134.12,3.65%,130,"1,39,20,479","6,546.12",-147.05,6.87,140.4,50.66,29.41%,11.54%,26.37%,9.13%,8.30%,3.08,-,-,4.51%,-,101.32,103.8,76.01,36.00%,75.00%
Arvind Fashions,https://scanx.trade/company/arvind-fashions-ltd,489.55,-2.32%,500,"1,24,592","6,539.93",149.35,34.45,579,320.2,-4.11%,-10.71%,1.37%,59.83%,248.56%,6.75,0.32%,8.94%,19.89%,5.7,485.73,492.68,55.7,50.00%,70.00%
Cera Sanitaryware,https://scanx.trade/company/cera-sanitaryware-ltd,"5,053.60",-2.52%,"5,184.00","13,868","6,517.90",27.12,-21.38,"7,275.00","4,796.50",-3.89%,-19.71%,-25.54%,-10.59%,43.38%,4.98,1.25%,17.76%,21.33%,177.56,"5,210.99","6,034.08",46.21,68.67%,80.00%
Welspun Enterprises,https://scanx.trade/company/welspun-enterprises-ltd,470.55,-0.78%,461.9,"2,66,262","6,513.06",17.33,8.7,594.15,400.05,-7.73%,-16.58%,-19.56%,226.09%,413.70%,2.47,0.62%,28.98%,16.52%,24.3,496.38,506.97,45.9,50.00%,70.00%
Ashapura Minechem,https://scanx.trade/company/ashapura-minechem-ltd,681.45,-6.74%,731.05,"13,43,997","6,509.63",17.19,-107.53,924.9,301.6,-24.37%,2.44%,36.71%,563.86%,485.69%,4.89,0.14%,16.70%,17.70%,17.6,769.76,583.48,41.53,50.00%,75.00%
Tanla Platforms,https://scanx.trade/company/tanla-platforms-ltd,490.7,-1.09%,497,"2,19,858","6,507.53",13.39,52.74,766,409.35,-7.50%,-21.06%,-12.41%,-21.30%,-30.27%,2.91,2.45%,28.24%,27.29%,41.21,521.85,599.43,45.99,64.36%,80.00%
Valor Estate,https://scanx.trade/company/db-realty-ltd,120.68,-5.50%,125,"34,85,310","6,507.12",232.18,8.7,252.67,95.5,0.11%,-18.28%,-11.77%,96.58%,526.91%,1.68,-,-,-1.46%,-,115.73,157.38,58.41,-,-
Galaxy Surfactants,https://scanx.trade/company/galaxy-surfactants-ltd,"1,828.90",-0.28%,"1,834.00","5,351","6,484.32",22.72,200.88,"2,750.10","1,800.00",-10.81%,-19.44%,-24.46%,-22.12%,-18.16%,2.57,0.22%,13.83%,16.09%,86.31,"1,959.18","2,238.73",34.94,70.41%,-
Symphony,https://scanx.trade/company/symphony-ltd,937.8,-0.87%,942,"23,254","6,440.00",40.67,54.76,"1,454.80",815,2.38%,0.01%,-34.35%,-1.98%,-6.96%,8.31,1.37%,19.78%,36.63%,30.74,881.24,"1,004.41",60.33,68.06%,80.00%
Fujiyama Power Systems,https://scanx.trade/company/fujiyama-power-systems-ltd,210.14,-0.04%,211.55,"93,124","6,438.92",-,-0.1,230.99,192,-6.48%,0.82%,0.82%,0.82%,0.82%,-,-,-,17.62%,-,208.67,-,51.99,-,70.00%
Saregama India,https://scanx.trade/company/saregama-india-ltd,333.5,2.07%,326.1,"4,90,918","6,430.20",33.06,17.94,603,317.1,-6.83%,-26.29%,-36.31%,-3.75%,248.70%,4.08,1.37%,13.42%,16.81%,9.9,354.49,457.81,44.46,65.34%,80.00%
Mastek,https://scanx.trade/company/mastek-ltd,"2,071.90",0.13%,"2,059.20","1,62,372","6,420.12",16.91,52.74,"2,818.00","1,887.00",-2.09%,-3.13%,-22.66%,26.22%,75.47%,2.39,1.11%,17.48%,17.14%,98.56,"2,120.99","2,291.50",48.43,66.08%,80.00%
Suprajit Engineering,https://scanx.trade/company/suprajit-engineering-ltd,466.75,-1.43%,475.85,"89,354","6,402.46",40.68,173.23,517.65,350,-1.45%,4.84%,12.61%,43.62%,116.89%,4.76,0.63%,12.42%,15.97%,12.08,457.25,449.26,56.86,50.00%,-
Thyrocare Technologies,https://scanx.trade/company/thyrocare-technologies-ltd,400.2,0.81%,395.1,"3,02,362","6,369.65",46.44,-67.01,536.66,219.33,-12.85%,-11.49%,54.31%,133.15%,30.42%,11.8,1.77%,13.17%,26.01%,14.66,446.48,405.43,35.68,11.00%,75.00%
Aditya Vision,https://scanx.trade/company/aditya-vision-ltd,489.85,-1.34%,496.9,"1,47,146","6,325.83",57.62,34.45,598.7,327.6,1.30%,-14.67%,0.73%,10.51%,10.51%,10.03,0.22%,-,22.86%,-,498.06,470.43,47.01,50.00%,70.00%
Quality Power Electrical Equipments,https://scanx.trade/company/quality-power-electrical-equipments-ltd,816.65,6.83%,805,"71,16,496","6,324.47",48.62,-0.1,"1,082.00",267.8,-1.73%,-15.30%,110.53%,110.53%,110.53%,12.65,0.13%,-,18.31%,-,714.27,729.01,66.38,0.00%,65.00%
Shreeji Shipping Global,https://scanx.trade/company/shreeji-shipping-global-ltd,386.8,0.77%,384.9,"11,86,068","6,301.68",43.95,38.29,394,222,4.54%,43.23%,51.63%,51.63%,51.63%,8.8,-,-,51.19%,-,344.94,-,64.73,-,60.00%
Ganesh Housing,https://scanx.trade/company/ganesh-housing-corporation-ltd,750.05,-1.01%,748.05,"19,408","6,254.45",11.99,8.7,"1,485.00",706,-7.28%,-10.25%,-46.38%,118.36%,1462.60%,2.85,0.66%,29.72%,38.68%,49.55,782.87,889.44,48.39,50.00%,-
Max Estates,https://scanx.trade/company/max-estates-ltd,385.2,-0.93%,393.85,"66,187","6,247.48",127.11,8.7,564.3,341.1,-14.76%,-19.25%,-26.54%,36.09%,36.09%,2.65,-,-3.80%,1.94%,-,431.05,461.56,41.3,50.00%,-
Yatharth Hospital,https://scanx.trade/company/yatharth-hospital-ltd,647.4,3.57%,625.1,"15,80,421","6,237.98",39.48,-67.01,843.7,345.6,-7.44%,-21.21%,52.85%,93.92%,93.92%,3.57,-,35.95%,10.89%,14.66,659.13,656.81,56.96,50.00%,75.00%
Atlanta Electricals,https://scanx.trade/company/atlanta-electricals-ltd,807.55,-2.74%,827.4,"74,465","6,209.79",44.28,-0.1,"1,097.85",707.6,-11.00%,-19.49%,-1.92%,-1.92%,-1.92%,8.17,-,-,43.12%,-,857.45,-,50.2,-,-
Shilpa Medicare,https://scanx.trade/company/shilpa-medicare-ltd,315.9,0.89%,311.5,"1,71,237","6,178.43",44.49,18.72,"1,000.00",259.5,-1.22%,-11.64%,-13.39%,160.47%,42.94%,2.51,0.16%,-,7.50%,-,312.09,381.31,62.27,-,-
FDC,https://scanx.trade/company/fdc-fairdeal-corporation-ltd,378.5,-2.15%,386.75,"1,83,038","6,162.36",27.84,16.76,527.8,358.75,-9.78%,-15.36%,-20.53%,47.94%,24.04%,2.58,1.30%,9.78%,15.38%,19.31,402.18,443.32,42.84,70.00%,100.00%
Prism Johnson,https://scanx.trade/company/prism-johnson-ltd,122.4,-1.55%,124.99,"4,48,045","6,161.08",38.44,30.45,176,105.3,-12.04%,-14.64%,-7.70%,18.26%,18.83%,4.29,-,9.85%,5.72%,-,131.01,143.94,41.92,65.48%,-
DCB Bank,https://scanx.trade/company/dcb-bank-ltd,190.92,-1.19%,193.25,"9,79,248","6,142.13",8.84,9.74,203.7,101.41,7.60%,17.45%,61.58%,81.22%,64.23%,1.08,0.68%,10.57%,6.76%,17.25,180.16,150.47,54,69.95%,75.00%
Lloyds Engineering Works,https://scanx.trade/company/lloyds-steel-industries-ltd,52.68,3.76%,52.4,"1,44,77,385","6,138.85",42.43,24.35,84.27,41.13,-6.16%,-12.23%,-19.41%,149.55%,5387.50%,5.06,0.49%,19.42%,21.13%,0.77,51.49,59.9,59.68,36.00%,65.00%
Indo Count Industries,https://scanx.trade/company/indo-count-industries-ltd,307.29,-6.00%,320.35,"20,80,574","6,086.01",39.3,29.53,355.5,213.55,9.71%,9.61%,3.52%,135.74%,130.44%,2.81,0.61%,16.18%,15.51%,17.27,272.77,281.09,63.79,50.00%,-
Raymond Lifestyle,https://scanx.trade/company/raymond-lifestyle-ltd,997.4,-3.70%,"1,036.00","70,273","6,076.52",118.54,23.66,"1,494.85",865.3,-3.76%,-14.98%,-28.63%,-65.24%,-65.24%,0.66,-,-,2.46%,-,"1,024.00","1,112.53",51.28,60.00%,70.00%
Kingfa Science & Technology,https://scanx.trade/company/kingfa-science-technology-ltd,"4,467.80",1.46%,"4,425.30","3,782","6,054.49",38.02,24.12,"4,880.00","2,550.00",0.71%,-2.00%,44.57%,250.10%,577.45%,4.62,-,-,29.00%,-,"4,179.17","3,909.57",59.39,-,-
Tejas Networks,https://scanx.trade/company/tejas-networks-ltd,339.05,-2.86%,349.05,"15,82,295","6,016.41",-8.08,30.03,914.4,294,-25.20%,-37.41%,-61.47%,-38.39%,124.17%,1.87,0.72%,2.00%,22.45%,9.75,420.73,581.27,39.52,50.00%,75.00%
Fiem Industries,https://scanx.trade/company/fiem-industries-ltd,"2,280.90",-2.04%,"2,340.00","32,996","6,003.25",26.95,173.23,"2,445.00","1,255.10",-2.29%,7.78%,58.24%,170.18%,614.39%,5.66,1.29%,18.70%,25.50%,68.05,"2,256.52","1,999.94",54.73,50.00%,65.00%
