name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
Indus Towers,https://scanx.trade/company/bharti-infratel-ltd,442.4,-0.61%,445.1,"42,58,051","1,16,712.32",16.47,17.55,454.95,312.55,0.08%,12.70%,23.96%,207.97%,74.28%,3.25,-,22.32%,28.12%,24.54,420.46,388.24,58.21,75.51%,87.29%
Tata Power,https://scanx.trade/company/tata-power-ltd,364.5,-1.90%,363,"54,57,078","1,16,470.13",23.73,22.3,416.8,326.35,-7.28%,-9.01%,0.68%,77.55%,306.81%,3.15,0.61%,11.17%,9.90%,11.48,374.03,388.67,48.89,76.00%,87.50%
Hero Motocorp,https://scanx.trade/company/hero-motocorp-ltd,"5,766.00",-1.46%,"5,880.50","3,31,312","1,15,367.06",22.1,43.31,"6,388.50","3,344.00",-2.81%,8.61%,36.08%,117.24%,67.58%,5.58,2.82%,20.98%,28.71%,204.1,"5,829.64","5,056.10",54.1,76.00%,90.11%
Tata Consumer Products,https://scanx.trade/company/tata-consumer-products-ltd,"1,155.90",0.25%,"1,149.50","11,62,295","1,14,381.43",77.52,-11.53,"1,220.90",930.1,-1.26%,-1.98%,11.77%,61.06%,99.01%,5.61,0.72%,7.46%,7.91%,13.53,"1,166.96","1,129.81",49.55,78.00%,90.86%
Polycab,https://scanx.trade/company/polycab-india-ltd,"7,536.50",-1.23%,"7,600.00","1,94,719","1,13,453.32",43.22,20.24,"7,948.00","4,555.00",-3.35%,-0.31%,26.37%,155.55%,471.03%,10.84,0.46%,21.87%,27.96%,118.4,"7,354.30","6,953.53",56.61,74.12%,86.61%
IDBI Bank,https://scanx.trade/company/idbi-bank-ltd,102.98,-5.66%,109.8,"6,36,35,129","1,10,728.24",12.6,9.74,118.38,66.5,-10.24%,3.75%,29.84%,106.37%,235.99%,1.99,1.92%,11.35%,5.31%,5.85,100.87,95.23,52.41,60.00%,75.00%
Cipla,https://scanx.trade/company/cipla-ltd,"1,333.30",0.50%,"1,335.90","9,99,810","1,07,700.21",23.62,16.76,"1,673.00","1,281.70",-11.80%,-11.31%,-7.99%,30.42%,59.78%,3.25,1.21%,15.50%,21.57%,55.04,"1,453.02","1,506.69",32.36,78.00%,91.00%
Bosch,https://scanx.trade/company/bosch-ltd,"36,275.00",-1.18%,"36,710.00","16,466","1,06,988.18",40.34,173.23,"41,945.00","25,921.60",-7.98%,-4.16%,26.74%,108.29%,121.74%,7.72,1.40%,20.65%,18.89%,646.75,"36,652.70","36,129.43",47.54,78.00%,87.50%
GAIL,https://scanx.trade/company/gail-ltd,160.18,-3.16%,161.52,"1,33,23,350","1,05,319.95",12.63,38.29,202.79,150.52,-8.67%,-11.80%,-10.01%,72.61%,83.84%,1.23,4.54%,12.83%,15.14%,17.17,168.53,179.39,41.18,76.00%,87.50%
CG Power & Industrial Solutions,https://scanx.trade/company/cg-power-and-industrial-solutions-ltd,668,-0.24%,670.95,"25,21,396","1,05,200.49",95.16,-0.1,797.55,517.7,2.91%,-10.65%,10.62%,116.01%,1435.63%,14.14,0.19%,28.86%,31.58%,5.88,633.68,683.68,64.12,74.12%,85.74%
Groww,https://scanx.trade/company/billionbrains-garage-ventures-ltd,170.09,0.74%,168.01,"1,91,60,476","1,05,006.71",61.2,3.47,193.8,112,9.60%,29.51%,29.51%,29.51%,29.51%,12.37,-,-,49.28%,-,159.46,-,55.41,-,80.00%
Lodha Developers,https://scanx.trade/company/macrotech-developers-ltd,"1,048.55",-0.75%,"1,049.00","11,64,041","1,04,719.16",31.55,8.7,"1,531.00",863.8,-3.42%,-14.26%,-18.50%,115.16%,350.74%,5.06,0.40%,8.86%,18.64%,19.37,"1,057.94","1,229.68",54.6,72.22%,84.61%
Dr Reddys Laboratories,https://scanx.trade/company/dr-reddys-laboratories-ltd,"1,244.90",0.38%,"1,242.00","9,53,241","1,03,903.13",18.74,16.76,"1,379.70","1,020.00",-0.89%,3.74%,2.05%,42.82%,33.35%,2.87,0.64%,19.74%,21.88%,333.59,"1,241.92","1,252.01",55.95,78.00%,91.00%
LG Electronics,https://scanx.trade/company/lg-electronics-india-ltd,"1,517.50",-0.57%,"1,526.20","2,97,163","1,03,003.71",47.03,10.17,"1,749.00","1,325.50",2.30%,-7.10%,-10.20%,-10.20%,-10.20%,17.36,-,-,45.23%,-,"1,503.37",-,60,-,75.00%
GMR Airports,https://scanx.trade/company/gmr-infrastructure-ltd,97.43,-0.66%,98.57,"80,04,097","1,02,876.10",-700.57,38.29,110.36,67.75,-7.89%,2.39%,30.71%,159.47%,264.91%,-37.89,-,-86.69%,7.69%,-,100.68,92.29,50.34,75.00%,87.50%
Apollo Hospitals,https://scanx.trade/company/apollo-hospitals-ltd,"7,122.00",0.08%,"7,116.00","2,34,707","1,02,403.43",59.17,-67.01,"8,099.50","6,001.00",-0.11%,-8.82%,4.86%,67.51%,160.72%,11.26,0.18%,12.53%,15.53%,72.05,"7,099.50","7,326.31",54.32,75.00%,91.00%
Lupin,https://scanx.trade/company/lupin-ltd,"2,218.50",1.06%,"2,204.00","10,46,965","1,01,340.82",23.07,16.76,"2,226.30","1,795.20",5.38%,11.09%,5.08%,200.04%,111.02%,5.11,0.55%,13.47%,21.29%,49.64,"2,125.85","2,012.12",63.87,76.00%,87.50%
Max Healthcare Institute,https://scanx.trade/company/max-healthcare-institute-ltd,"1,040.80",1.50%,"1,027.35","38,42,206","1,01,245.83",73.57,-67.01,"1,314.30",933.8,-2.05%,-8.57%,-11.37%,138.99%,493.05%,9.93,0.15%,14.89%,11.73%,10.84,"1,048.55","1,149.13",56.81,70.00%,87.32%
REC,https://scanx.trade/company/rural-electrification-corporation-ltd,382.1,0.13%,382.7,"1,38,10,435","1,00,615.49",5.83,-163.59,451.9,330.95,0.38%,3.09%,-10.59%,221.77%,234.73%,1.2,4.72%,20.40%,9.48%,55.59,359.87,381.36,60.22,72.32%,86.25%
United Spirits,https://scanx.trade/company/united-spirits-ltd,"1,359.40",0.10%,"1,360.00","5,19,049","98,876.07",57.41,34.89,"1,645.00","1,271.10",-1.61%,-6.31%,-8.30%,76.81%,130.25%,11.75,0.88%,19.77%,26.08%,19.42,"1,390.64","1,406.24",50.55,76.00%,87.50%
Shree Cement,https://scanx.trade/company/shree-cement-ltd,"27,225.00",-0.46%,"27,460.00","38,447","98,229.84",57.33,30.45,"32,490.00","25,360.00",0.67%,-1.36%,-2.54%,11.27%,0.49%,4.4,0.40%,11.55%,6.67%,582.58,"26,715.00","29,018.90",52.69,78.00%,87.50%
Indian Hotels Company,https://scanx.trade/company/indian-hotels-company-ltd,689.15,0.44%,689.4,"13,07,331","98,095.83",52.98,225.72,858,627.2,-7.95%,-7.27%,-16.79%,116.54%,492.51%,8.44,0.33%,11.86%,17.74%,9.03,708.62,744,51.88,76.00%,87.50%
Hindustan Petroleum,https://scanx.trade/company/hindustan-petroleum-ltd,458.85,-,466.45,"59,86,826","97,635.14",6.34,10.31,508.45,287.55,-7.46%,-5.36%,37.50%,202.41%,199.76%,1.72,2.29%,34.13%,12.56%,46.45,456.51,430.35,55.3,74.69%,86.96%
Marico,https://scanx.trade/company/marico-ltd,748.3,2.03%,738,"24,00,386","97,135.90",54.39,10.45,780,577.85,-1.25%,4.32%,10.52%,51.51%,80.75%,23.49,1.42%,36.03%,36.91%,11.73,740.77,723.17,53.91,78.00%,87.50%
Mazagon Dock Shipbuilders,https://scanx.trade/company/mazagon-dock-shipbuilders-ltd,"2,398.40",-1.34%,"2,430.40","9,98,660","96,746.66",42.03,38.29,"3,775.00","1,918.05",-3.85%,-10.61%,9.20%,545.20%,2086.73%,11.01,0.71%,21.98%,34.51%,96.04,"2,487.93","2,845.47",45.26,66.44%,81.44%
ICICI Prudential Life Insurance,https://scanx.trade/company/icici-prudential-life-insurance-ltd,655.2,-0.78%,660.2,"3,24,372","94,845.52",69.85,3.47,706.8,525.8,-3.41%,7.84%,7.95%,56.75%,37.47%,7.13,0.13%,7.73%,0.44%,6.03,649.11,626.44,51.54,76.00%,80.00%
Persistent Systems,https://scanx.trade/company/persistent-systems-ltd,"5,980.50",-0.09%,"5,961.00","13,81,637","94,342.39",54.52,31.01,"6,599.00","4,148.95",-4.91%,2.08%,-2.15%,146.57%,606.04%,13.21,0.58%,22.06%,28.61%,76.02,"6,292.44","5,755.55",40.45,75.19%,87.00%
Bharat Heavy Electricals,https://scanx.trade/company/bhel-bharat-heavy-electricals-ltd,268.9,-1.39%,272.3,"36,31,556","93,632.68",116.47,-0.1,305.9,176,-10.22%,0.62%,30.08%,258.77%,537.20%,3.89,0.18%,1.15%,3.75%,0.29,274.82,251.72,51.7,72.83%,84.45%
ICICI Lombard General Insurance,https://scanx.trade/company/icici-lombard-general-insurance-ltd,"1,874.20",1.09%,"1,843.60","5,89,173","93,336.06",33.76,3.47,"2,068.70","1,613.70",-5.05%,-8.13%,-0.01%,65.35%,27.47%,5.59,0.67%,15.72%,-8.50%,42.73,"1,919.05","1,925.00",50.12,78.00%,87.50%
Siemens Energy,https://scanx.trade/company/siemens-energy-ltd,"2,598.90",-0.22%,"2,571.00","1,94,559","92,552.16",84.36,22.3,"3,625.00","2,115.00",2.05%,-19.92%,-4.98%,-4.98%,-4.98%,21.18,0.15%,-,29.23%,-,"2,661.49",-,57.63,-,87.50%
Zydus Life Science,https://scanx.trade/company/cadila-healthcare-ltd,905,-0.03%,909.25,"4,19,002","91,064.18",18.11,16.76,"1,059.05",795,-1.30%,-6.86%,-7.08%,108.21%,88.86%,3.6,1.22%,17.34%,21.99%,41.43,910.05,950.24,53.72,76.00%,87.50%
Aditya Birla Capital,https://scanx.trade/company/aditya-birla-capital-ltd,344.65,-0.56%,347,"75,13,726","90,199.91",25.31,3.47,369.3,149.01,-4.60%,3.98%,105.75%,143.14%,281.25%,2.82,-,12.01%,9.58%,13.24,352.02,290.49,47.38,76.00%,87.50%
GE Vernova T&D,https://scanx.trade/company/ge-td-india-ltd,"3,513.50",0.09%,"3,509.00","7,23,721","89,961.95",84.14,-0.1,"3,819.00","1,254.00",13.57%,11.66%,113.33%,2918.47%,2717.56%,43.07,0.14%,-,44.57%,-,"2,973.29","2,650.07",73.29,60.00%,70.00%
Dabur India,https://scanx.trade/company/dabur-india-ltd,504.3,0.62%,501.55,"15,37,272","89,447.20",48.81,85.52,577,433.3,-3.50%,-2.47%,-6.79%,-5.51%,-4.14%,8.1,1.60%,17.58%,20.32%,10.6,507.41,504.45,45.64,78.00%,87.50%
Swiggy,https://scanx.trade/company/swiggy-ltd,321.45,0.11%,322,"95,03,067","88,730.28",-19.98,38.29,474,297,-16.98%,-22.23%,-25.94%,-29.51%,-29.51%,4.47,-,-,-25.96%,-,368.07,384.21,39.69,65.00%,84.89%
Waaree Energies,https://scanx.trade/company/waaree-energies-ltd,"3,071.60",-1.09%,"3,090.00","9,19,090","88,351.78",26.23,-0.1,"3,865.00","1,863.00",7.16%,-8.84%,30.52%,31.33%,31.33%,7.77,-,-,24.78%,-,"2,862.61","3,060.15",63.42,50.00%,82.08%
SRF,https://scanx.trade/company/srf-ltd,"2,906.30",-0.49%,"2,935.30","97,591","86,149.95",48.59,200.88,"3,325.00","2,570.20",-5.01%,-1.20%,-2.15%,31.48%,154.46%,6.52,0.25%,11.64%,12.90%,41.45,"2,945.29","2,982.82",50.97,76.00%,87.50%
Mankind Pharma,https://scanx.trade/company/mankind-pharma-ltd,"2,080.40",-0.43%,"2,095.00","2,73,390","85,879.97",47.84,16.76,"2,716.50","2,046.80",-5.55%,-12.20%,-18.58%,46.27%,46.27%,5.64,-,20.28%,13.33%,48.99,"2,172.90","2,390.50",43.09,75.00%,87.50%
Hitachi Energy,https://scanx.trade/company/abb-power-products-systems-ltd,"19,199.00",0.82%,"19,099.00","1,35,828","85,574.48",118.28,-0.1,"22,840.00","10,300.00",2.11%,-6.15%,59.60%,529.52%,1397.23%,18.51,0.03%,12.04%,13.08%,40.53,"18,819.24","18,659.51",57.23,50.00%,80.05%
Havells,https://scanx.trade/company/havells-india-ltd,"1,350.20",0.45%,"1,349.80","3,92,787","84,692.22",56.87,-0.1,"1,675.25","1,250.10",-6.23%,-9.16%,-16.98%,12.81%,19.06%,9.73,0.74%,17.06%,22.51%,22.2,"1,397.97","1,499.40",48.18,78.00%,87.50%
JSW Energy,https://scanx.trade/company/jsw-energy-ltd,473.95,1.09%,468.85,"17,40,344","82,835.49",31.64,22.3,579,418.75,-7.19%,-10.25%,0.90%,114.80%,555.99%,2.78,0.42%,8.21%,5.73%,11.18,478.2,506.92,50.1,72.61%,85.46%
Bharti Hexacom,https://scanx.trade/company/bharti-hexacom-ltd,"1,627.40",1.00%,"1,620.00","2,62,659","81,370.00",52.18,-3.3,"2,052.90","1,234.00",-9.69%,-13.11%,17.92%,100.10%,100.10%,12.89,0.62%,10.87%,20.12%,8.38,"1,709.64","1,755.16",46.54,60.00%,86.71%
Oil India,https://scanx.trade/company/oil-india-ltd,498.5,-1.70%,509.8,"40,88,756","81,086.40",12.42,-110.71,524,325,16.24%,15.53%,22.95%,245.70%,532.86%,1.47,2.27%,23.55%,11.77%,51.54,431.06,425.77,64.1,72.79%,85.67%
NHPC,https://scanx.trade/company/nhpc-ltd,80,1.94%,77.6,"2,64,99,178","80,360.28",21.92,22.3,92.34,71,-4.33%,-4.94%,1.38%,95.12%,231.26%,1.91,2.43%,8.28%,6.14%,3.6,78.41,83.12,54.61,75.25%,87.50%
Lenskart Solutions,https://scanx.trade/company/lenskart-solutions-ltd,447,-1.25%,454.9,"14,86,418","77,548.70",264.91,85.52,495,356.1,-1.14%,10.89%,10.89%,10.89%,10.89%,9.5,-,-,6.18%,-,435.57,-,51.69,-,70.00%
One 97 Communications,https://scanx.trade/company/paytm-ltd,"1,211.70",0.43%,"1,205.60","15,81,535","77,492.97",-440.46,38.29,"1,381.80",651.5,-9.62%,-4.44%,55.01%,130.82%,-22.37%,5.03,-,-13.67%,-4.12%,-,"1,281.71","1,131.13",46.04,68.53%,82.27%
Bajaj Housing Finance,https://scanx.trade/company/bajaj-housing-finance-ltd,91.31,-0.58%,91.84,"28,01,353","76,082.55",30.91,13.41,136.96,87.11,-5.50%,-16.64%,-21.14%,-44.66%,-44.66%,3.61,-,-,8.84%,-,94.56,110.91,46.34,70.00%,87.50%
Info Edge,https://scanx.trade/company/naukri-info-edge-ltd,"1,166.00",-1.85%,"1,188.00","14,33,736","75,605.84",46.47,38.29,"1,637.00","1,157.00",-14.75%,-12.90%,-24.35%,59.42%,21.71%,1.58,0.50%,1.88%,4.80%,53.82,"1,327.68","1,381.31",27.24,75.95%,87.50%
Bharat Forge,https://scanx.trade/company/bharat-forge-ltd,"1,573.20",-1.12%,"1,598.00","18,23,030","75,212.90",70.58,21.9,"1,596.90",919.1,6.50%,18.74%,34.24%,81.34%,150.09%,8.13,0.53%,12.70%,16.45%,22.02,"1,440.42","1,287.96",64.83,76.00%,87.50%
Bank of India,https://scanx.trade/company/bank-of-india-ltd,163.46,1.57%,160.95,"1,23,18,378","74,417.91",7.46,9.86,169.9,92.66,9.54%,14.98%,52.97%,104.97%,184.77%,0.94,2.52%,9.28%,5.62%,15.14,149.08,128.34,58.58,70.00%,86.44%
NMDC,https://scanx.trade/company/nmdc-ltd,84.6,-1.49%,86.13,"3,61,79,651","74,378.78",10.95,-107.53,86.72,59.53,0.08%,13.91%,32.21%,113.91%,208.65%,2.33,3.84%,24.47%,29.74%,20.82,79.7,73.92,57.71,75.15%,87.38%
Nykaa,https://scanx.trade/company/nykaa-ltd,258.29,2.89%,253.05,"1,39,07,681","73,915.43",696.81,34.45,273.22,154.9,-2.50%,2.97%,44.31%,82.22%,-29.74%,51.74,-,1.78%,12.91%,0.14,252.99,230.77,61.73,75.00%,87.50%
AU Small Finance Bank,https://scanx.trade/company/au-small-finance-bank-ltd,986,0.51%,980.95,"9,21,723","73,647.50",31.69,9.74,"1,029.95",478.35,-1.34%,12.01%,64.37%,56.72%,104.36%,4.04,0.10%,38.28%,16.45%,23.05,981.3,820.09,51.3,76.00%,87.50%
IDFC First Bank,https://scanx.trade/company/idfc-first-bank-ltd,85.48,0.40%,85,"2,71,29,853","73,469.14",46.52,9.74,87,52.46,-0.51%,5.36%,37.60%,45.37%,74.27%,1.56,0.25%,9.12%,5.55%,3.82,83.22,74.87,57.82,76.00%,87.50%
NTPC Green Energy,https://scanx.trade/company/ntpc-green-energyltd,86.39,-1.36%,88,"22,90,307","72,795.06",132.74,22.3,117.64,84.05,-11.04%,-14.24%,-22.26%,-28.98%,-28.98%,3.94,-,-,3.47%,-,91.52,100.86,39.11,70.00%,87.50%
PB FinTech,https://scanx.trade/company/policy-bazaar-ltd,"1,552.80",7.84%,"1,439.00","1,42,33,176","71,844.13",114.91,52.74,"1,978.00","1,311.35",-12.85%,-14.83%,-9.01%,262.85%,29.15%,9.84,-,-8.90%,6.22%,2.28,"1,764.92","1,776.41",39.7,70.00%,84.34%
Torrent Power,https://scanx.trade/company/torrent-power-ltd,"1,417.60",0.72%,"1,395.00","6,73,283","71,433.37",23.23,22.3,"1,640.00","1,188.00",1.30%,8.69%,4.79%,219.82%,341.41%,3.77,1.35%,15.05%,14.83%,47.61,"1,319.94","1,346.92",60.34,73.97%,86.34%
SBI Cards,https://scanx.trade/company/sbi-cards-ltd,749.7,-,750,"5,71,677","71,337.52",34.1,3.47,"1,027.25",725.15,-14.41%,-14.85%,-10.30%,-0.58%,-24.21%,4.82,0.33%,19.93%,20.03%,25.33,839.69,876.64,32.01,76.00%,87.50%
Indusind Bank,https://scanx.trade/company/indusind-bank-ltd,914.4,-0.75%,918.1,"25,52,518","71,238.71",-35.29,9.74,"1,086.55",606,1.32%,15.72%,-12.68%,-17.14%,-11.41%,1.11,-,14.20%,5.98%,115.87,878.03,819.21,56.77,70.00%,85.69%
UNO Minda,https://scanx.trade/company/minda-industries-ltd,"1,230.80",2.16%,"1,208.40","23,78,517","71,034.79",59.1,173.23,"1,382.00",767.6,-6.84%,-1.69%,22.90%,152.37%,387.89%,11.15,0.19%,17.56%,19.22%,15.45,"1,239.34","1,166.74",54.79,70.00%,70.00%
L&T Finance,https://scanx.trade/company/lt-finance-holdings-ltd,283.4,-1.29%,286,"39,34,618","70,924.47",25.57,3.47,329.45,131.05,-11.37%,1.21%,86.41%,225.19%,203.59%,2.73,0.96%,9.85%,10.60%,9.93,300.08,239.77,42.11,75.00%,87.44%
Federal Bank,https://scanx.trade/company/federal-bank-ltd,287.6,0.07%,287.9,"24,81,799","70,834.32",16.77,9.74,298.25,172.66,7.74%,20.92%,58.69%,115.59%,236.18%,1.95,0.42%,12.70%,6.45%,16.45,266.89,222.61,64.4,76.00%,87.50%
Dixon Technologies,https://scanx.trade/company/dixon-technologies-ltd,"11,376.00",-2.59%,"11,700.00","10,47,347","69,036.10",39.14,10.17,"18,471.00","9,835.00",-6.49%,-25.42%,-23.82%,312.85%,253.68%,17.44,0.07%,19.86%,41.33%,72.3,"12,230.70","15,125.19",51.17,70.00%,84.85%
Aurobindo Pharma,https://scanx.trade/company/aurobindo-pharma-ltd,"1,181.60",-2.56%,"1,212.70","12,16,222","68,627.52",20.57,16.76,"1,278.60","1,010.00",-2.78%,2.83%,0.88%,192.33%,27.44%,2.01,-,10.62%,15.74%,61.22,"1,191.08","1,147.41",50.39,76.00%,87.50%
Meesho,https://scanx.trade/company/meesho-ltd,151.38,2.22%,150.09,"53,09,364","68,319.78",-25.91,38.29,254.4,144.76,-15.55%,-11.00%,-11.00%,-11.00%,-11.00%,12.62,-,-,-95.95%,-,-,-,40.32,-,80.00%
Alkem Laboratories,https://scanx.trade/company/alkem-laboratories-ltd,"5,662.50",0.16%,"5,650.50","1,08,123","67,703.68",28.01,16.76,"5,933.50","4,491.65",1.25%,-0.03%,10.90%,85.58%,90.20%,5.06,0.80%,16.91%,19.29%,179.8,"5,659.16","5,336.25",48.82,78.00%,87.50%
Yes Bank,https://scanx.trade/company/yes-bank-ltd,21.38,-0.79%,21.59,"7,98,87,065","67,085.20",21.33,9.74,24.3,16.02,-4.08%,-7.12%,11.82%,29.97%,31.98%,1.35,-,3.05%,5.95%,0.46,22.02,20.99,44.27,70.00%,87.10%
Indian Overseas Bank,https://scanx.trade/company/indian-overseas-bank-ltd,34.82,-0.88%,35,"53,64,839","67,051.45",13.66,9.86,52.41,33.5,-6.47%,-11.96%,-29.94%,30.17%,195.08%,2.09,-,9.67%,5.53%,1.49,35.9,38.01,46.31,64.04%,80.00%
Lloyds Metals & Energy,https://scanx.trade/company/lloyds-metals-energy-ltd,"1,266.10",-1.51%,"1,286.00","4,03,513","66,913.67",27.99,-107.53,"1,612.00",942.15,-6.13%,-3.94%,5.93%,124.76%,124.76%,7.62,0.07%,44.22%,26.34%,26.73,"1,248.20","1,339.75",57.21,50.00%,65.00%
NALCO,https://scanx.trade/company/national-aluminium-company-ltd,363.85,-2.95%,360,"1,21,83,411","66,825.85",11.21,87.15,431.5,137.75,10.16%,55.98%,85.75%,363.80%,604.45%,3.47,2.80%,10.93%,36.82%,10.5,320.52,230.27,52.64,71.97%,82.40%
Coromandel International,https://scanx.trade/company/coromandel-international-ltd,"2,249.30",-1.09%,"2,287.80","1,20,390","66,353.32",28.38,78.98,"2,718.90","1,596.00",-1.35%,3.71%,19.76%,157.49%,193.03%,5.5,0.66%,17.37%,25.05%,49.55,"2,302.77","2,306.17",46.35,69.49%,87.42%
Rail Vikas Nigam,https://scanx.trade/company/rail-vikas-nigam-ltd,316.6,-1.37%,321,"58,86,319","66,011.74",58.94,8.7,447.8,301.2,-13.46%,-2.82%,-20.87%,337.90%,914.74%,7.01,0.54%,19.39%,14.76%,6.98,330.98,352.05,40.63,67.60%,81.66%
Prestige Estates Projects,https://scanx.trade/company/prestige-estate-ltd,"1,526.80",-0.44%,"1,523.90","6,67,604","65,763.89",62.51,8.7,"1,814.00","1,048.05",-5.68%,-12.58%,7.42%,285.60%,440.08%,4.17,0.12%,10.40%,8.96%,33.42,"1,572.62","1,592.13",51.66,72.15%,85.34%
Suzlon Energy,https://scanx.trade/company/suzlon-ltd,47.85,-3.86%,50,"12,13,02,173","65,613.26",21.36,-0.1,74.3,44.88,-11.85%,-20.24%,-15.93%,428.73%,644.17%,8.64,-,262.69%,24.15%,0.68,50.89,57.92,45.47,50.00%,84.28%
Steel Authority of India,https://scanx.trade/company/steel-authority-of-india-ltd,158.5,0.77%,155.9,"2,25,67,786","65,468.83",23.29,24.72,160,99.15,7.48%,14.71%,48.58%,84.41%,145.93%,1.11,1.02%,3.98%,6.70%,9.38,141.58,132.22,63.09,73.43%,85.47%
GIC of India,https://scanx.trade/company/general-insurance-corporation-of-india-ltd,373.1,-0.25%,370.1,"3,13,930","65,456.66",6.85,3.47,453.8,351,-1.70%,-0.73%,-7.05%,136.81%,166.12%,0.97,2.68%,14.56%,-53.04%,40.52,375.01,385.12,50.27,64.68%,80.00%
Oracle Financial Services Software,https://scanx.trade/company/oracle-financial-services-software-ltd,"7,450.50",-0.89%,"7,497.00","92,851","64,831.94",26.79,31.01,"9,950.00","7,038.00",-3.63%,-10.50%,-19.22%,138.52%,125.76%,8.88,3.52%,28.24%,36.86%,269.28,"7,841.66","8,486.64",38.19,75.09%,87.28%
Fortis Healthcare,https://scanx.trade/company/fortis-healthcare-ltd,857.2,-0.31%,858,"7,49,831","64,715.01",62.54,-67.01,"1,104.30",587.1,-6.29%,-15.89%,36.27%,209.12%,400.85%,6.89,0.12%,7.54%,9.86%,8.5,883.45,869.21,45.15,75.00%,87.50%
Jindal Stainless,https://scanx.trade/company/jsl-jindal-stainless-ltd,777.5,-0.59%,785,"2,09,862","64,098.62",21.91,24.72,884,496.6,-9.11%,5.30%,24.89%,192.07%,893.61%,3.56,0.38%,17.41%,17.24%,30.84,793.21,731.14,45.67,70.00%,75.00%
UPL,https://scanx.trade/company/upl-united-phosphorus-ltd,747.65,-1.46%,762,"15,48,274","63,050.73",31.96,22.23,812.2,588.85,-7.08%,2.23%,17.39%,8.90%,42.22%,2.01,0.74%,-5.74%,7.50%,-,754.56,701.9,51.93,76.00%,87.50%
Bharti Airtel - PP,https://scanx.trade/company/bharti-airtel-ltd-ppd-up,"1,586.00",-1.95%,"1,617.50","10,79,515","62,216.82",-,-3.3,"1,729.00","1,097.60",-6.01%,-1.02%,29.31%,290.69%,363.27%,12.1,-,-,-,-,"1,611.76","1,500.53",47.15,-,-
MCX,https://scanx.trade/company/multi-commodity-exchange-ltd,"2,410.40",-5.23%,"2,475.00","54,12,056","61,463.23",69.21,38.29,"2,705.00",881.63,8.77%,29.24%,105.75%,698.67%,661.65%,31.08,0.24%,10.07%,24.11%,34.19,"2,215.89","1,747.89",52.87,72.84%,75.00%
Phoenix Mills,https://scanx.trade/company/phoenix-mills-ltd,"1,709.00",-0.59%,"1,718.30","7,62,564","61,112.35",43.33,8.7,"1,993.00","1,402.50",-10.21%,-3.32%,-4.21%,145.85%,322.44%,5.7,0.15%,13.29%,10.43%,61.08,"1,789.61","1,636.08",41.52,73.22%,86.83%
APL Apollo Tubes,https://scanx.trade/company/apl-apollo-tubes-ltd,"2,182.10",0.36%,"2,181.00","10,43,338","60,582.96",52.87,24.72,"2,195.90","1,272.70",12.95%,22.65%,51.79%,85.98%,369.90%,13.11,0.26%,21.36%,22.02%,26.38,"1,888.95","1,759.31",76.34,76.00%,87.50%
Adani Total Gas,https://scanx.trade/company/adani-gas-ltd,545.4,-0.64%,549.65,"3,03,887","59,983.64",93.99,38.29,798,507.05,-7.18%,-13.30%,-13.28%,-66.38%,40.55%,13.39,0.05%,18.64%,15.92%,6.27,566.14,617.37,49.14,70.30%,82.63%
Schaeffler India,https://scanx.trade/company/schaeffler-india-ltd,"3,814.20",-0.76%,"3,860.30","57,927","59,617.35",56.23,28.57,"4,392.00","2,823.00",-1.55%,-7.82%,14.88%,47.60%,313.89%,11.02,0.73%,18.71%,23.77%,58.28,"3,793.22","3,938.86",55.65,69.50%,80.00%
Biocon,https://scanx.trade/company/biocon-ltd,367.8,-0.20%,368.55,"15,13,592","59,616.99",78.44,16.76,424.95,291,-6.40%,-3.34%,-0.88%,57.68%,-10.27%,1.58,0.10%,5.13%,6.26%,13,383.74,365.8,42.5,75.63%,87.50%
Sundaram Finance,https://scanx.trade/company/sundaram-finance-ltd,"5,321.00",-1.61%,"5,406.00","72,695","59,118.36",29.18,3.47,"5,450.00","4,200.00",0.53%,11.43%,14.74%,131.08%,183.00%,3.97,0.65%,12.84%,10.15%,140.47,"5,036.74","4,885.17",56.14,67.71%,80.00%
Nippon Life India AMC,https://scanx.trade/company/nippon-life-india-asset-management-ltd,925,-0.15%,939,"8,26,463","58,925.69",40.92,3.47,"1,009.00",498.05,3.66%,4.93%,59.39%,301.13%,179.54%,13.47,1.93%,27.78%,38.47%,19.06,866.61,819.21,60.94,65.60%,80.00%
Hindustan Copper,https://scanx.trade/company/hindustan-copper-ltd,607.3,-1.03%,588,"3,11,54,519","58,727.37",104.51,-107.53,760.05,183.82,12.07%,82.70%,154.67%,464.93%,776.33%,19.9,0.24%,14.18%,21.26%,3.74,482.07,325.35,56.12,70.91%,75.86%
Max Financial Services,https://scanx.trade/company/max-financial-services-ltd,"1,701.50",-0.39%,"1,708.90","4,32,611","58,721.28",294.09,38.29,"1,752.20",950,1.83%,6.85%,54.56%,136.53%,136.66%,11.12,-,8.99%,6.69%,11,"1,671.79","1,569.48",59.34,75.00%,87.50%
